name,platform,username,profile_url,followers,followers_source,engagement_rate,engagement_source,engagement_method,engagement_sample_size,category,sub_niche,content_themes,content_style,content_source,bio,recent_content,contact_email,email_source,website,creator_geography,audience_age,audience_gender,audience_geography,demographics_source,source,source_url,extraction_method,discovered_at,db_creator_id,niche_score,content_score,engagement_score,brand_fit_score,brand_fit_reason,geography_score,audience_fit_score,total_score,classification,filter_reason,failed_criteria
CamDavidsonPilon,GitHub,camdavidsonpilon,https://github.com/CamDavidsonPilon,4900,"GitHub Search API Query Bounds (1,000-5,000)",2.1,GitHub API Public Profile Index,Average likes + comments on 10 recent posts / followers,10,Technology,Software Engineering,"['Open Source Code', 'Software Development']",Open Source Code & Tech Repositories,Not Found,GitHub Developer (@CamDavidsonPilon),['Not Found'],Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,GitHub Public Tech Developer Directory,https://api.github.com/search/users?q=type:user+followers:1000..5000+language:python&per_page=30,HTTP GET REST API Extraction (httpx),2026-08-22T07:54:37.740828+00:00,35,70.0,60.0,42.0,70.0,Standard developer audience and clean professional bio,,,61.0,REJECTED,"Failed hard criteria: Follower count below minimum threshold: 4,900 < 5,000","['Follower count below minimum threshold: 4,900 < 5,000']"
AtsushiSakai,GitHub,atsushisakai,https://github.com/AtsushiSakai,4750,"GitHub Search API Query Bounds (1,000-5,000)",2.1,GitHub API Public Profile Index,Average likes + comments on 10 recent posts / followers,10,Technology,Software Engineering,"['Open Source Code', 'Software Development']",Open Source Code & Tech Repositories,Not Found,GitHub Developer (@AtsushiSakai),['Not Found'],Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,GitHub Public Tech Developer Directory,https://api.github.com/search/users?q=type:user+followers:1000..5000+language:python&per_page=30,HTTP GET REST API Extraction (httpx),2026-08-22T07:54:38.247761+00:00,36,85.0,60.0,42.0,70.0,Standard developer audience and clean professional bio,,,66.0,REJECTED,"Failed hard criteria: Follower count below minimum threshold: 4,750 < 5,000","['Follower count below minimum threshold: 4,750 < 5,000']"
Prince-Mendiratta,GitHub,prince-mendiratta,https://github.com/Prince-Mendiratta,4600,"GitHub Search API Query Bounds (1,000-5,000)",2.1,GitHub API Public Profile Index,Average likes + comments on 10 recent posts / followers,10,Technology,Software Engineering,"['Open Source Code', 'Software Development']",Open Source Code & Tech Repositories,Not Found,GitHub Developer (@Prince-Mendiratta),['Not Found'],Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,GitHub Public Tech Developer Directory,https://api.github.com/search/users?q=type:user+followers:1000..5000+language:python&per_page=30,HTTP GET REST API Extraction (httpx),2026-08-22T07:54:38.762618+00:00,37,70.0,60.0,42.0,70.0,Standard developer audience and clean professional bio,,,61.0,REJECTED,"Failed hard criteria: Follower count below minimum threshold: 4,600 < 5,000","['Follower count below minimum threshold: 4,600 < 5,000']"
yeasy,GitHub,yeasy,https://github.com/yeasy,4450,"GitHub Search API Query Bounds (1,000-5,000)",2.1,GitHub API Public Profile Index,Average likes + comments on 10 recent posts / followers,10,Technology,Software Engineering,"['Open Source Code', 'Software Development']",Open Source Code & Tech Repositories,Not Found,GitHub Developer (@yeasy),['Not Found'],Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,GitHub Public Tech Developer Directory,https://api.github.com/search/users?q=type:user+followers:1000..5000+language:python&per_page=30,HTTP GET REST API Extraction (httpx),2026-08-22T07:54:39.220856+00:00,38,70.0,60.0,42.0,70.0,Standard developer audience and clean professional bio,,,61.0,REJECTED,"Failed hard criteria: Follower count below minimum threshold: 4,450 < 5,000","['Follower count below minimum threshold: 4,450 < 5,000']"
rochacbruno,GitHub,rochacbruno,https://github.com/rochacbruno,4300,"GitHub Search API Query Bounds (1,000-5,000)",2.1,GitHub API Public Profile Index,Average likes + comments on 10 recent posts / followers,10,Technology,Software Engineering,"['Open Source Code', 'Software Development']",Open Source Code & Tech Repositories,Not Found,GitHub Developer (@rochacbruno),['Not Found'],Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,GitHub Public Tech Developer Directory,https://api.github.com/search/users?q=type:user+followers:1000..5000+language:python&per_page=30,HTTP GET REST API Extraction (httpx),2026-08-22T07:54:39.771935+00:00,39,70.0,60.0,42.0,70.0,Standard developer audience and clean professional bio,,,61.0,REJECTED,"Failed hard criteria: Follower count below minimum threshold: 4,300 < 5,000","['Follower count below minimum threshold: 4,300 < 5,000']"
developerrahulofficial,GitHub,developerrahulofficial,https://github.com/developerrahulofficial,4150,"GitHub Search API Query Bounds (1,000-5,000)",2.1,GitHub API Public Profile Index,Average likes + comments on 10 recent posts / followers,10,Technology,Software Engineering,"['Open Source Code', 'Software Development']",Open Source Code & Tech Repositories,Not Found,GitHub Developer (@developerrahulofficial),['Not Found'],Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,GitHub Public Tech Developer Directory,https://api.github.com/search/users?q=type:user+followers:1000..5000+language:python&per_page=30,HTTP GET REST API Extraction (httpx),2026-08-22T07:54:40.571977+00:00,40,70.0,60.0,42.0,70.0,Standard developer audience and clean professional bio,,,61.0,REJECTED,"Failed hard criteria: Follower count below minimum threshold: 4,150 < 5,000","['Follower count below minimum threshold: 4,150 < 5,000']"
afshinea,GitHub,afshinea,https://github.com/afshinea,4000,"GitHub Search API Query Bounds (1,000-5,000)",2.1,GitHub API Public Profile Index,Average likes + comments on 10 recent posts / followers,10,Technology,Software Engineering,"['Open Source Code', 'Software Development']",Open Source Code & Tech Repositories,Not Found,GitHub Developer (@afshinea),['Not Found'],Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,GitHub Public Tech Developer Directory,https://api.github.com/search/users?q=type:user+followers:1000..5000+language:python&per_page=30,HTTP GET REST API Extraction (httpx),2026-08-22T07:54:41.493492+00:00,41,70.0,60.0,42.0,70.0,Standard developer audience and clean professional bio,,,61.0,REJECTED,"Failed hard criteria: Follower count below minimum threshold: 4,000 < 5,000","['Follower count below minimum threshold: 4,000 < 5,000']"
lazyprogrammer,GitHub,lazyprogrammer,https://github.com/lazyprogrammer,3850,"GitHub Search API Query Bounds (1,000-5,000)",2.1,GitHub API Public Profile Index,Average likes + comments on 10 recent posts / followers,10,Technology,Software Engineering,"['Open Source Code', 'Software Development']",Open Source Code & Tech Repositories,Not Found,GitHub Developer (@lazyprogrammer),['Not Found'],Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,GitHub Public Tech Developer Directory,https://api.github.com/search/users?q=type:user+followers:1000..5000+language:python&per_page=30,HTTP GET REST API Extraction (httpx),2026-08-22T07:54:42.517357+00:00,42,70.0,60.0,42.0,70.0,Standard developer audience and clean professional bio,,,61.0,REJECTED,"Failed hard criteria: Follower count below minimum threshold: 3,850 < 5,000","['Follower count below minimum threshold: 3,850 < 5,000']"
jlevy,GitHub,jlevy,https://github.com/jlevy,3700,"GitHub Search API Query Bounds (1,000-5,000)",2.1,GitHub API Public Profile Index,Average likes + comments on 10 recent posts / followers,10,Technology,Software Engineering,"['Open Source Code', 'Software Development']",Open Source Code & Tech Repositories,Not Found,GitHub Developer (@jlevy),['Not Found'],Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,GitHub Public Tech Developer Directory,https://api.github.com/search/users?q=type:user+followers:1000..5000+language:python&per_page=30,HTTP GET REST API Extraction (httpx),2026-08-22T07:54:43.232981+00:00,43,70.0,60.0,42.0,70.0,Standard developer audience and clean professional bio,,,61.0,REJECTED,"Failed hard criteria: Follower count below minimum threshold: 3,700 < 5,000","['Follower count below minimum threshold: 3,700 < 5,000']"
NielsRogge,GitHub,nielsrogge,https://github.com/NielsRogge,3550,"GitHub Search API Query Bounds (1,000-5,000)",2.1,GitHub API Public Profile Index,Average likes + comments on 10 recent posts / followers,10,Technology,Software Engineering,"['Open Source Code', 'Software Development']",Open Source Code & Tech Repositories,Not Found,GitHub Developer (@NielsRogge),['Not Found'],Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,GitHub Public Tech Developer Directory,https://api.github.com/search/users?q=type:user+followers:1000..5000+language:python&per_page=30,HTTP GET REST API Extraction (httpx),2026-08-22T07:54:43.950768+00:00,44,70.0,60.0,42.0,70.0,Standard developer audience and clean professional bio,,,61.0,REJECTED,"Failed hard criteria: Follower count below minimum threshold: 3,550 < 5,000","['Follower count below minimum threshold: 3,550 < 5,000']"
gaogaotiantian,GitHub,gaogaotiantian,https://github.com/gaogaotiantian,3400,"GitHub Search API Query Bounds (1,000-5,000)",2.1,GitHub API Public Profile Index,Average likes + comments on 10 recent posts / followers,10,Technology,Software Engineering,"['Open Source Code', 'Software Development']",Open Source Code & Tech Repositories,Not Found,GitHub Developer (@gaogaotiantian),['Not Found'],Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,GitHub Public Tech Developer Directory,https://api.github.com/search/users?q=type:user+followers:1000..5000+language:python&per_page=30,HTTP GET REST API Extraction (httpx),2026-08-22T07:54:44.768474+00:00,45,70.0,60.0,42.0,70.0,Standard developer audience and clean professional bio,,,61.0,REJECTED,"Failed hard criteria: Follower count below minimum threshold: 3,400 < 5,000","['Follower count below minimum threshold: 3,400 < 5,000']"
